"filename", "language", "Batch", "XML", "CSS", "Java", "comment", "blank", "total"
"e:\course_directory\dependency-reduced-pom.xml", "XML", 0, 109, 0, 0, 0, 1, 110
"e:\course_directory\mvnw.cmd", "Batch", 102, 0, 0, 0, 51, 36, 189
"e:\course_directory\pom.xml", "XML", 0, 122, 0, 0, 0, 16, 138
"e:\course_directory\src\main\java\module-info.java", "Java", 0, 0, 0, 15, 0, 3, 18
"e:\course_directory\src\main\java\org\example\course_directory\StartProgram.java", "Java", 0, 0, 0, 25, 0, 8, 33
"e:\course_directory\src\main\java\org\example\course_directory\cardMaker\CourseCardController.java", "Java", 0, 0, 0, 72, 7, 26, 105
"e:\course_directory\src\main\java\org\example\course_directory\cardMaker\CourseLoader.java", "Java", 0, 0, 0, 102, 10, 22, 134
"e:\course_directory\src\main\java\org\example\course_directory\connection\DatabaseConnection.java", "Java", 0, 0, 0, 20, 5, 6, 31
"e:\course_directory\src\main\java\org\example\course_directory\connection\ExecuteQuery.java", "Java", 0, 0, 0, 34, 0, 11, 45
"e:\course_directory\src\main\java\org\example\course_directory\controllers\AdminHomeController.java", "Java", 0, 0, 0, 841, 105, 166, 1112
"e:\course_directory\src\main\java\org\example\course_directory\controllers\AuthController.java", "Java", 0, 0, 0, 142, 25, 42, 209
"e:\course_directory\src\main\java\org\example\course_directory\controllers\RegController.java", "Java", 0, 0, 0, 157, 1, 28, 186
"e:\course_directory\src\main\java\org\example\course_directory\controllers\UserHomeController.java", "Java", 0, 0, 0, 203, 13, 48, 264
"e:\course_directory\src\main\java\org\example\course_directory\dao\AdminDAO.java", "Java", 0, 0, 0, 62, 3, 10, 75
"e:\course_directory\src\main\java\org\example\course_directory\dao\ClickDAO.java", "Java", 0, 0, 0, 59, 4, 14, 77
"e:\course_directory\src\main\java\org\example\course_directory\dao\CourseDAO.java", "Java", 0, 0, 0, 116, 7, 21, 144
"e:\course_directory\src\main\java\org\example\course_directory\dao\UserDAO.java", "Java", 0, 0, 0, 53, 2, 10, 65
"e:\course_directory\src\main\java\org\example\course_directory\entyty\Administrator.java", "Java", 0, 0, 0, 70, 0, 20, 90
"e:\course_directory\src\main\java\org\example\course_directory\entyty\Click.java", "Java", 0, 0, 0, 59, 3, 17, 79
"e:\course_directory\src\main\java\org\example\course_directory\entyty\Course.java", "Java", 0, 0, 0, 191, 9, 48, 248
"e:\course_directory\src\main\java\org\example\course_directory\entyty\User.java", "Java", 0, 0, 0, 45, 4, 12, 61
"e:\course_directory\src\main\java\org\example\course_directory\services\ClearForm.java", "Java", 0, 0, 0, 36, 9, 4, 49
"e:\course_directory\src\main\java\org\example\course_directory\services\ClickService.java", "Java", 0, 0, 0, 26, 6, 10, 42
"e:\course_directory\src\main\java\org\example\course_directory\services\CourseManager.java", "Java", 0, 0, 0, 22, 1, 9, 32
"e:\course_directory\src\main\java\org\example\course_directory\services\IconManager.java", "Java", 0, 0, 0, 11, 0, 4, 15
"e:\course_directory\src\main\java\org\example\course_directory\services\NotificationService.java", "Java", 0, 0, 0, 29, 6, 9, 44
"e:\course_directory\src\main\java\org\example\course_directory\services\OpenNewWindow.java", "Java", 0, 0, 0, 50, 12, 15, 77
"e:\course_directory\src\main\resources\org\example\course_directory\fxml\admin\adminHome.fxml", "XML", 0, 584, 0, 0, 3, 15, 602
"e:\course_directory\src\main\resources\org\example\course_directory\fxml\authWindow.fxml", "XML", 0, 57, 0, 0, 0, 3, 60
"e:\course_directory\src\main\resources\org\example\course_directory\fxml\cardMaker\CourseCard.fxml", "XML", 0, 46, 0, 0, 0, 4, 50
"e:\course_directory\src\main\resources\org\example\course_directory\fxml\registration.fxml", "XML", 0, 73, 0, 0, 0, 3, 76
"e:\course_directory\src\main\resources\org\example\course_directory\fxml\user\userHome.fxml", "XML", 0, 205, 0, 0, 1, 6, 212
"e:\course_directory\src\main\resources\org\example\course_directory\styles\style.css", "CSS", 0, 0, 111, 0, 2, 29, 142
"Total", "-", 102, 1196, 111, 2440, 289, 676, 4814